#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Gordon Ramsay @gordonramsayofficial,40M,1.1%,United Kingdom,Food,12M
2,mks @mks.vision,20.6M,-,United Kingdom,,6.2M
3,Spice King @spicyycam_,19.1M,-,United Kingdom,Food,5.7M
4,Ed Sheeran @edsheeran,15.2M,0.9%,United Kingdom,Entertainment and Music,4.6M
5,Queen Star ğŸ§šğŸ¼â€â™€ï¸ @queenstaralien,11.6M,0.3%,United Kingdom,Fashion and Accessories Entertainment and Music Music,3.5M
6,BashTheEntertainer @bashtheentertainer,10M,-,United Kingdom,,3M
7,Tom Felton @t22felton,9.8M,0.3%,United Kingdom,Acting and Drama,2.9M
8,F.ukuro / Tea @f.ukuro,9.3M,1.1%,United Kingdom,Entertainment and Music Games Video Gaming,2.8M
9,Queen Daro @thequeendaro,8.1M,-,United Kingdom,Beauty and Self Care Business and Finance,2.4M
10,Roligore @theroligore,6.1M,-,United Kingdom,Entertainment and Music,1.8M
11,Georgia Daniels @gdresin,5.5M,-,United Kingdom,Arts and Crafts Home and Garden,1.7M
12,Liam Payne @liampayne,5.3M,0.2%,United Kingdom,,1.6M
13,Mia & Jerrie @mmeowmmia,4.9M,1.1%,United Kingdom,Pets,1.5M
14,Lola clark @scoobiezoobie,4.6M,0.7%,United Kingdom,Entertainment and Music,1.4M
15,eva violet @evaaviolett,4.6M,-,United Kingdom,Beauty and Self Care Entertainment and Music,1.4M
16,Liv Cooke @livcookefs,4.6M,-,United Kingdom,Sports,1.4M
17,AiSh @aishofficial22,4.2M,-,United Kingdom,Music,1.3M
18,TikTok UK @tiktok_uk,4.2M,-,United Kingdom,,1.3M
19,Adam Blythe @thrdfloor,3.8M,-,United Kingdom,Fashion and Accessories,1.1M
20,chartel @charlotte__martel,3.6M,-,United Kingdom,Arts and Crafts,1.1M
21,NickelodeonUK @nickelodeonuk,3.4M,-,United Kingdom,Entertainment and Music Animation and Cosplay,1M
22,Adam :) @_adammcg,3M,13.3%,United Kingdom,Entertainment and Music,900K
23,Jaydecandance @jaydecandance,3M,-,United Kingdom,,900K
24,Instant English @instantenglish,2.9M,-,United Kingdom,Education,870K
25,Ember Wolf ğŸº @ember.w0lf,2.9M,-,United Kingdom,Animation and Cosplay,870K
26,Britainâ€™s Got Talent @bgt,2.8M,0.2%,United Kingdom,Entertainment and Music,840K
27,Anthony Hopkins @anthonyhopkins,2.8M,0.4%,United Kingdom,Arts and Crafts Entertainment and Music Acting and Drama Celebrity,840K
28,Esther @astar4real,2.5M,0.2%,United Kingdom,Education,750K
29,Craig Jones @craigjones221,2.5M,-,United Kingdom,Business and Finance,750K
30,Ryley Isaac @ryley,2.4M,-,United Kingdom,,720K
31,Red Bull UK @redbulluk,2.3M,-,United Kingdom,Entertainment and Music,690K
32,Mehwish Official @mehwishshah06,2.3M,-,United Kingdom,,690K
33,Marina @marinaswrld,2.3M,-,United Kingdom,Entertainment and Music Funny,690K
34,Juicy Boy ğŸŒ¹ @juicyboytv,2.2M,0.6%,United Kingdom,Beauty and Self Care,660K
35,Sky Brown @skybrown,2.1M,-,United Kingdom,Sports,630K
36,j breezy @janelthebear,2M,-,United Kingdom,Entertainment and Music,600K
37,Connorckern @connorckern,2M,-,United Kingdom,family,600K
38,James Corden @jamescordenclips,2M,-,United Kingdom,Entertainment and Music Funny,600K
39,Magic Singh @magicsingh,2M,-,United Kingdom,Entertainment and Music,600K
40,mia challiner @miachalliner,2M,2.7%,United Kingdom,Entertainment and Music,600K
41,Nikkita XIII @scaredy_cat_cosplays,1.9M,-,United Kingdom,Animation and Cosplay,570K
42,Luna Di @lunadimusic,1.9M,-,United Kingdom,Entertainment and Music,570K
43,ğ‘Šğ‘ğ‘ ğ‘– @wasishah0077,1.9M,-,United Kingdom,,570K
44,Abdurahman Afia @abdurahmanafia,1.9M,0.2%,United Kingdom,,570K
45,Aiden London @aiden_london,1.8M,-,United Kingdom,Funny Celebrity,540K
46,Carine & Frances @thegilberttwins,1.8M,-,United Kingdom,Entertainment and Music,540K
47,Lily-Rose ğŸŒ¹ @itslilyrose,1.8M,-,United Kingdom,Fashion and Accessories,540K
48,Idris Elba @idriselba,1.8M,0.3%,United Kingdom,,540K
49,Renee @rxneexx,1.7M,-,United Kingdom,,510K
50,Flo @glambyflo,1.7M,-,United Kingdom,,510K
51,steveharveyfunnymoments @steveharveyfunnymoments,1.7M,-,United Kingdom,,510K
52,Gorillaz @gorillaz,1.7M,0.1%,United Kingdom,,510K
53,greatbritishmemes @greatbritishmemes,1.7M,-,United Kingdom,Entertainment and Music Funny Life and Society,510K
54,British blind girl ğŸ‘ğŸ¦®ğŸ‘©â€ğŸ¦¯ @lucyedwards,1.7M,-,United Kingdom,Beauty and Self Care Entertainment and Music,510K
55,Danzy @its_danzy,1.6M,0.1%,United Kingdom,Entertainment and Music,480K
56,Helen Christie @helen_christie,1.6M,19.6%,United Kingdom,Entertainment and Music,480K
57,Jordan Rabjohn @jordanrabjohn,1.6M,-,United Kingdom,Entertainment and Music Music,480K
58,â­ Tommy TikTok â­ @tommytiktok88,1.6M,-,United Kingdom,Funny Entertainment and Music,480K
59,Charli XCX @charlixcx,1.6M,-,United Kingdom,Entertainment and Music,480K
60,JESSICA BALLINGER @theonlymissballinger,1.5M,-,United Kingdom,,450K
61,William Harvey @williamharvey92,1.5M,2.6%,United Kingdom,Entertainment and Music,450K
62,SebastianCroft @sebastiancroft,1.5M,0.8%,United Kingdom,Entertainment and Music,450K
63,Adeib @adeibb,1.5M,0.2%,United Kingdom,Photography,450K
64,wolves @wolves,1.5M,-,United Kingdom,Sports,450K
65,Twist and Pulse @twistandpulse,1.4M,-,United Kingdom,Entertainment and Music,420K
66,The ğŸ‡¬ğŸ‡§ Voodoo God (Simon) @fallenspiritofficial,1.4M,-,United Kingdom,,420K
67,my name is tea â˜•ï¸ @hajimesah0ge,1.4M,-,United Kingdom,Animation and Cosplay,420K
68,Posh posh @poshposh82,1.4M,-,United Kingdom,,420K
69,Chloe Adams @chloeadamsmusic,1.4M,-,United Kingdom,Entertainment and Music,420K
70,ğ–¡ğ–¤ğ–³ğ–§ğ– ğ–­ğ–¨ğ–¤ğ–³ğ– ğ–¸ğ–«ğ–®ğ–± @officialbeth,1.4M,0.1%,United Kingdom,Entertainment and Music Fashion and Accessories,420K
71,âœ¨Georgia Fawcettâœ¨ @georgiafawcett,1.4M,-,United Kingdom,Acting and Drama Celebrity,420K
72,Lady Leshurr @ladyleshurr,1.4M,-,United Kingdom,Entertainment and Music,420K
73,Alto Key | Indie Artist @altokeymusic,1.4M,-,United Kingdom,Music,420K
74,Hail Ozzy @hailozzy,1.4M,-,United Kingdom,Entertainment and Music,420K
75,TRHâ€¢Lord Xin. @jmrprdo69,1.4M,-,United Kingdom,Games Entertainment and Music,420K
76,simba ğŸ¦ @almost.cesca,1.4M,-,United Kingdom,Fashion and Accessories Arts and Crafts,420K
77,Daniel Simmons @imdanielsimmons,1.3M,0.1%,United Kingdom,Fashion and Accessories,390K
78,Prince John @prince_jayyyy,1.3M,-,United Kingdom,Food,390K
79,avfcofficial @avfcofficial,1.3M,0.2%,United Kingdom,Sports,390K
80,mythicaliity @mythicaliity,1.3M,-,United Kingdom,,390K
81,twettyfall @twettyfall,1.3M,-,United Kingdom,Fashion and Accessories,390K
82,CHAPLIN CHARLIE @blessrichard,1.3M,-,United Kingdom,,390K
83,UK REALEST @realesthiphop,1.3M,-,United Kingdom,,390K
84,Katie Price @katieprice,1.2M,0.1%,United Kingdom,Entertainment and Music,360K
85,GVE London @gvelondon,1.2M,-,United Kingdom,,360K
86,New Rules @newrulesband,1.2M,-,United Kingdom,,360K
87,Callum Grant @callum.grant7,1.2M,-,United Kingdom,Entertainment and Music,360K
88,On The Tools @onthetoolstv,1.2M,-,United Kingdom,DIY and Life Hacks Home and Garden,360K
89,lauralouise @lauralouise20,1.2M,-,United Kingdom,Fashion and Accessories,360K
90,Victoria Rose @torierobot,1.2M,-,United Kingdom,Travel Arts and Crafts Entertainment and Music,360K
91,Dad V Girls @dadvgirls,1.2M,0.1%,United Kingdom,family Entertainment and Music,360K
92,Rosie Mcclelland ğŸ’—ğŸ¦‹ @rosie_rgm,1.2M,-,United Kingdom,Entertainment and Music,360K
93,Caring Whispers ASMR @caringwhispers_asmr,1.2M,-,United Kingdom,Entertainment and Music,360K
94,Paul Lee Hiley @paulleehiley,1.2M,-,United Kingdom,Beauty and Self Care,360K
95,Joe Sugg @joe_sugg,1.2M,-,United Kingdom,Entertainment and Music,360K
96,Adam Kajumi ğŸ‡¨ğŸ‡¿ @adamkajumi,1.2M,0.8%,United Kingdom,Entertainment and Music Funny,360K
97,iskra lawrence @iskra,1.2M,-,United Kingdom,Fitness and Health,360K
98,Cat Burns @catburnss,1.2M,-,United Kingdom,Pets,360K
99,Ruben Chorlton-Owen â€œSAVAGEâ€ @savage,1.2M,-,United Kingdom,,360K
100,Yorkshire Peach @yorkshirepeach,1.1M,-,United Kingdom,Entertainment and Music,330K
